function,alias,primary,returns,type/lib
CAST,nan,any,any,any
CHARACTER+AF8-LENGTH,nan,String,UInt64,String
CHAR+AF8-LENGTH,nan,String,UInt64,String
CRC32,nan,String,UInt32,String
CRC32IEEE,nan,String,UInt32,String
CRC64,nan,String,UInt64,String
FQDN,nan,,,
IPv4CIDRToRange,nan,IP,tuple,IP
IPv4NumToString,nan,UInt32,String,IP
IPv4NumToStringClassC,nan,UInt32,tuple,IP
IPv4StringToNum,nan,String,UInt32,IP
IPv4ToIPv6,nan,String,String,IP
IPv6CIDRToRange,nan,String,tuple,IP
IPv6NumToString,nan,String,String,IP
IPv6StringToNum,nan,String,String,IP
JSONExtract,nan,String,Literal,JSON
JSONExtractBool,nan,String,Boolean,JSON
JSONExtractFloat,nan,String,Float64,JSON
JSONExtractInt,nan,String,Int64,JSON
JSONExtractKeysAndValues,nan,String,Literal,JSON
JSONExtractRaw,nan,String,String,JSON
JSONExtractString,nan,String,String,JSON
JSONExtractUInt,nan,String,UInt64,JSON
JSONHas,nan,String,UInt8,JSON
JSONKey,nan,String,String,JSON
JSONLength,nan,String,UInt64,JSON
JSONType,nan,String,String,JSON
MACNumToString,nan,UInt64,String,IP
MACStringToNum,nan,String,UInt64,IP
MACStringToOUI,nan,String,UInt64,IP
MD5,nan,String,String,String
SHA1,nan,String,String,String
SHA224,nan,String,String,String
SHA256,nan,String,String,String
URLHash,nan,String,UInt64,URL
URLHierarchy,nan,String,Array,URL
URLPathHierarchy,nan,String,Array,URL
UUIDNumToString,nan,String,String,funcs.encode
UUIDStringToNum,nan,String,String,funcs.encode
+AF8AXw-bitBoolMaskAnd,nan,na,na,na
+AF8AXw-bitBoolMaskOr,nan,na,na,na
+AF8AXw-bitSwapLastTwo,nan,na,na,na
+AF8AXw-bitWrapperFunc,nan,na,na,na
+AF8AXw-getScalar,nan,na,na,na
abs,nan,Numeric,Numeric,Numeric
acos,nan,Numeric,Float64,Numeric
addDays,nan,,,
addHours,nan,,,
addMinutes,nan,,,
addMonths,nan,,,
addQuarters,nan,,,
addSeconds,nan,,,
addWeeks,nan,,,
addYears,nan,,,
addressToLine,nan,na,na,na
addressToSymbol,nan,na,na,na
alphaTokens,nan,String,Array,String
and,nan,na,na,na
appendTrailingCharIfAbsent,nan,String,String,String
array,nan,,,
arrayAll,nan,,,
arrayCompact,nan,,,
arrayConcat,nan,,,
arrayCount,nan,,,
arrayCumSum,nan,,,
arrayCumSumNonNegative,nan,,,
arrayDifference,nan,,,
arrayDistinct,nan,,,
arrayElement,nan,,,
arrayEnumerate,nan,,,
arrayEnumerateDense,nan,,,
arrayEnumerateDenseRanked,nan,,,
arrayEnumerateUniq,nan,,,
arrayEnumerateUniqRanked,nan,,,
arrayExists,nan,,,
arrayFill,nan,,,
arrayFilter,nan,,,
arrayFirst,nan,,,
arrayFirstIndex,nan,,,
arrayFlatten,nan,,,
arrayIntersect,nan,,,
arrayJoin,nan,,,
arrayMap,nan,,,
arrayPopBack,nan,,,
arrayPopFront,nan,,,
arrayPushBack,nan,,,
arrayPushFront,nan,,,
arrayReduce,nan,,,
arrayResize,nan,,,
arrayReverse,nan,,,
arrayReverseFill,nan,,,
arrayReverseSort,nan,,,
arrayReverseSplit,nan,,,
arraySlice,nan,,,
arraySort,nan,,,
arraySplit,nan,,,
arrayStringConcat,nan,,,
arraySum,nan,,,
arrayUniq,nan,,,
arrayWithConstant,nan,,,
asin,nan,Numeric,Float64,Numeric
assumeNotNull,nan,Literal,Literal,TypeBase
atan,nan,Numeric,Float64,Numeric
bar,nan,,,
base64Decode,nan,String,String,String
base64Encode,nan,String,String,String
basename,nan,String,String,String
bitAnd,nan,Numeric,Numeric,Numeric
bitNot,nan,Numeric,Numeric,Numeric
bitOr,nan,Numeric,Numeric,Numeric
bitRotateLeft,nan,Numeric,Numeric,Numeric
bitRotateRight,nan,Numeric,Numeric,Numeric
bitShiftLeft,nan,Numeric,Numeric,Numeric
bitShiftRight,nan,Numeric,Numeric,Numeric
bitTest,nan,Numeric,Numeric,Numeric
bitTestAll,nan,Numeric,Numeric,Numeric
bitTestAny,nan,Numeric,Numeric,Numeric
bitXor,nan,Numeric,Numeric,Numeric
bitmapAnd,nan,,,
bitmapAndCardinality,nan,,,
bitmapAndnot,nan,,,
bitmapAndnotCardinality,nan,,,
bitmapBuild,nan,,,
bitmapCardinality,nan,,,
bitmapContains,nan,,,
bitmapHasAll,nan,,,
bitmapHasAny,nan,,,
bitmapMax,nan,,,
bitmapMin,nan,,,
bitmapOr,nan,,,
bitmapOrCardinality,nan,,,
bitmapSubsetInRange,nan,,,
bitmapSubsetLimit,nan,,,
bitmapToArray,nan,,,
bitmapTransform,nan,,,
bitmapXor,nan,,,
bitmapXorCardinality,nan,,,
bitmaskToArray,nan,,,
bitmaskToList,nan,,,
blockNumber,nan,,,
blockSize,nan,,,
caseWithExpr,nan,,,
caseWithExpression,nan,,,
caseWithoutExpr,nan,,,
caseWithoutExpression,nan,,,
cbrt,nan,,,
ceil,nan,,,
ceiling,ceil,,,
char,nan,,,
cityHash64,nan,,,
coalesce,nan,,,
concat,nan,,,
concatAssumeInjective,nan,,,
convertCharset,nan,,,
cos,nan,,,
countEqual,nan,,,
currentDatabase,nan,,,
currentUser,nan,,,
cutFragment,nan,,,
cutIPv6,nan,,,
cutQueryString,nan,,,
cutQueryStringAndFragment,nan,,,
cutToFirstSignificantSubdomain,nan,,,
cutURLParameter,nan,,,
cutWWW,nan,,,
dateDiff,nan,,,
decodeURLComponent,nan,,,
defaultValueOfArgumentType,nan,,,
demangle,nan,,,
dictGet,nan,,,
dictGetDate,nan,,,
dictGetDateOrDefault,nan,,,
dictGetDateTime,nan,,,
dictGetDateTimeOrDefault,nan,,,
dictGetFloat32,nan,,,
dictGetFloat32OrDefault,nan,,,
dictGetFloat64,nan,,,
dictGetFloat64OrDefault,nan,,,
dictGetHierarchy,nan,,,
dictGetInt16,nan,,,
dictGetInt16OrDefault,nan,,,
dictGetInt32,nan,,,
dictGetInt32OrDefault,nan,,,
dictGetInt64,nan,,,
dictGetInt64OrDefault,nan,,,
dictGetInt8,nan,,,
dictGetInt8OrDefault,nan,,,
dictGetOrDefault,nan,,,
dictGetString,nan,,,
dictGetStringOrDefault,nan,,,
dictGetUInt16,nan,,,
dictGetUInt16OrDefault,nan,,,
dictGetUInt32,nan,,,
dictGetUInt32OrDefault,nan,,,
dictGetUInt64,nan,,,
dictGetUInt64OrDefault,nan,,,
dictGetUInt8,nan,,,
dictGetUInt8OrDefault,nan,,,
dictGetUUID,nan,,,
dictGetUUIDOrDefault,nan,,,
dictHas,nan,,,
dictIsIn,nan,,,
divide,nan,,,
domain,nan,,,
domainWithoutWWW,nan,,,
dumpColumnStructure,nan,,,
e,nan,,,
empty,nan,,,
emptyArrayDate,nan,,,
emptyArrayDateTime,nan,,,
emptyArrayFloat32,nan,,,
emptyArrayFloat64,nan,,,
emptyArrayInt16,nan,,,
emptyArrayInt32,nan,,,
emptyArrayInt64,nan,,,
emptyArrayInt8,nan,,,
emptyArrayString,nan,,,
emptyArrayToSingle,nan,,,
emptyArrayUInt16,nan,,,
emptyArrayUInt32,nan,,,
emptyArrayUInt64,nan,,,
emptyArrayUInt8,nan,,,
endsWith,nan,,,
equals,nan,,,
erf,nan,,,
erfc,nan,,,
evalMLMethod,nan,,,
exp,nan,,,
exp10,nan,,,
exp2,nan,,,
extract,nan,,,
extractAll,nan,,,
extractURLParameter,nan,,,
extractURLParameterNames,nan,,,
extractURLParameters,nan,,,
farmHash64,nan,,,
filesystemAvailable,nan,,,
filesystemCapacity,nan,,,
filesystemFree,nan,,,
finalizeAggregation,nan,,,
findClusterIndex,nan,,,
findClusterValue,nan,,,
firstSignificantSubdomain,nan,,,
flatten,arrayFlatten,,,
floor,nan,,,
format,nan,,,
formatDateTime,nan,,,
formatReadableSize,nan,,,
fragment,nan,,,
fullHostName,nan,,,
gccMurmurHash,nan,,,
gcd,nan,,,
generateUUIDv4,nan,,,
geoToH3,nan,,,
geohashDecode,nan,,,
geohashEncode,nan,,,
geohashesInBox,nan,,,
getMacro,nan,,,
getSizeOfEnumType,nan,,,
globalIn,nan,,,
globalNotIn,nan,,,
greatCircleDistance,nan,,,
greater,nan,,,
greaterOrEquals,nan,,,
greatest,nan,,,
halfMD5,nan,,,
has,nan,,,
hasAll,nan,,,
hasAny,nan,,,
hasColumnInTable,nan,,,
hasToken,nan,,,
hasTokenCaseInsensitive,nan,,,
hex,nan,,,
hiveHash,nan,,,
hostName,nan,,,
identity,nan,,,
if,nan,,,
ifNull,nan,,,
ignore,nan,,,
ignoreExceptNull,nan,,,
in,nan,,,
indexHint,nan,,,
indexOf,nan,,,
intDiv,nan,,,
intDivOrZero,nan,,,
intExp10,nan,,,
intExp2,nan,,,
intHash32,nan,,,
intHash64,nan,,,
isFinite,nan,,,
isInfinite,nan,,,
isNaN,nan,,,
isNotNull,nan,,,
isNull,nan,,,
isValidJSON,nan,,,
isValidUTF8,nan,,,
javaHash,nan,,,
javaHashUTF16LE,nan,,,
joinGet,nan,,,
jumpConsistentHash,nan,,,
lcase,lower,,,
lcm,nan,,,
least,nan,,,
length,nan,,,
lengthUTF8,nan,,,
less,nan,,,
lessOrEquals,nan,,,
lgamma,nan,,,
like,nan,,,
ln,log,,,
locate,position,,,
log,nan,,,
log10,nan,,,
log2,nan,,,
lowCardinalityIndices,nan,,,
lowCardinalityKeys,nan,,,
lower,nan,,,
lowerUTF8,nan,,,
match,nan,,,
materialize,nan,,,
metroHash64,nan,,,
mid,substring,,,
minus,nan,,,
modelEvaluate,nan,,,
modulo,nan,,,
multiFuzzyMatchAllIndices,nan,,,
multiFuzzyMatchAny,nan,,,
multiFuzzyMatchAnyIndex,nan,,,
multiIf,nan,,,
multiMatchAllIndices,nan,,,
multiMatchAny,nan,,,
multiMatchAnyIndex,nan,,,
multiSearchAllPositions,nan,,,
multiSearchAllPositionsCaseInsensitive,nan,,,
multiSearchAllPositionsCaseInsensitiveUTF8,nan,,,
multiSearchAllPositionsUTF8,nan,,,
multiSearchAny,nan,,,
multiSearchAnyCaseInsensitive,nan,,,
multiSearchAnyCaseInsensitiveUTF8,nan,,,
multiSearchAnyUTF8,nan,,,
multiSearchFirstIndex,nan,,,
multiSearchFirstIndexCaseInsensitive,nan,,,
multiSearchFirstIndexCaseInsensitiveUTF8,nan,,,
multiSearchFirstIndexUTF8,nan,,,
multiSearchFirstPosition,nan,,,
multiSearchFirstPositionCaseInsensitive,nan,,,
multiSearchFirstPositionCaseInsensitiveUTF8,nan,,,
multiSearchFirstPositionUTF8,nan,,,
multiply,nan,,,
murmurHash2+AF8-32,nan,,,
murmurHash2+AF8-64,nan,,,
murmurHash3+AF8-128,nan,,,
murmurHash3+AF8-32,nan,,,
murmurHash3+AF8-64,nan,,,
negate,nan,,,
neighbor,nan,,,
ngramDistance,nan,,,
ngramDistanceCaseInsensitive,nan,,,
ngramDistanceCaseInsensitiveUTF8,nan,,,
ngramDistanceUTF8,nan,,,
ngramSearch,nan,,,
ngramSearchCaseInsensitive,nan,,,
ngramSearchCaseInsensitiveUTF8,nan,,,
ngramSearchUTF8,nan,,,
not,nan,,,
notEmpty,nan,,,
notEquals,nan,,,
notIn,nan,,,
notLike,nan,,,
now,nan,,,
nullIf,nan,,,
or,nan,,,
parseDateTimeBestEffort,nan,,,
parseDateTimeBestEffortOrNull,nan,,,
parseDateTimeBestEffortOrZero,nan,,,
path,nan,,,
pathFull,nan,,,
pi,nan,,,
plus,nan,,,
pointInEllipses,nan,,,
pointInPolygon,nan,,,
position,nan,,,
positionCaseInsensitive,nan,,,
positionCaseInsensitiveUTF8,nan,,,
positionUTF8,nan,,,
pow,nan,,,
power,pow,,,
protocol,nan,,,
queryString,nan,,,
queryStringAndFragment,nan,,,
rand,nan,,,
rand64,nan,,,
randConstant,nan,,,
range,nan,,,
regexpQuoteMeta,nan,,,
regionHierarchy,nan,,,
regionIn,nan,,,
regionToArea,nan,,,
regionToCity,nan,,,
regionToContinent,nan,,,
regionToCountry,nan,,,
regionToDistrict,nan,,,
regionToName,nan,,,
regionToPopulation,nan,,,
regionToTopContinent,nan,,,
reinterpretAsDate,nan,,,
reinterpretAsDateTime,nan,,,
reinterpretAsFixedString,nan,,,
reinterpretAsFloat32,nan,,,
reinterpretAsFloat64,nan,,,
reinterpretAsInt16,nan,,,
reinterpretAsInt32,nan,,,
reinterpretAsInt64,nan,,,
reinterpretAsInt8,nan,,,
reinterpretAsString,nan,,,
reinterpretAsUInt16,nan,,,
reinterpretAsUInt32,nan,,,
reinterpretAsUInt64,nan,,,
reinterpretAsUInt8,nan,,,
repeat,nan,,,
replace,replaceAll,,,
replaceAll,nan,,,
replaceOne,nan,,,
replaceRegexpAll,nan,,,
replaceRegexpOne,nan,,,
replicate,nan,,,
reverse,nan,,,
reverseUTF8,nan,,,
round,nan,,,
roundAge,nan,,,
roundDown,nan,,,
roundDuration,nan,,,
roundToExp2,nan,,,
rowNumberInAllBlocks,nan,,,
rowNumberInBlock,nan,,,
runningAccumulate,nan,,,
runningDifference,nan,,,
runningDifferenceStartingWithFirstValue,nan,,,
sigmoid,nan,,,
sin,nan,,,
sipHash128,nan,,,
sipHash64,nan,,,
sleep,nan,,,
sleepEachRow,nan,,,
splitByChar,nan,,,
splitByString,nan,,,
sqrt,nan,,,
startsWith,nan,,,
substr,substring,,,
substring,nan,,,
substringUTF8,nan,,,
subtractDays,nan,,,
subtractHours,nan,,,
subtractMinutes,nan,,,
subtractMonths,nan,,,
subtractQuarters,nan,,,
subtractSeconds,nan,,,
subtractWeeks,nan,,,
subtractYears,nan,,,
sumburConsistentHash,nan,,,
tan,nan,,,
tanh,nan,,,
tgamma,nan,,,
throwIf,nan,,,
timeSlot,nan,,,
timeSlots,nan,,,
timezone,nan,,,
toColumnTypeName,nan,,,
toDate,nan,,,
toDateOrNull,nan,,,
toDateOrZero,nan,,,
toDateTime,nan,,,
toDateTimeOrNull,nan,,,
toDateTimeOrZero,nan,,,
toDayOfMonth,nan,,,
toDayOfWeek,nan,,,
toDayOfYear,nan,,,
toDecimal128,nan,,,
toDecimal128OrNull,nan,,,
toDecimal128OrZero,nan,,,
toDecimal32,nan,,,
toDecimal32OrNull,nan,,,
toDecimal32OrZero,nan,,,
toDecimal64,nan,,,
toDecimal64OrNull,nan,,,
toDecimal64OrZero,nan,,,
toFixedString,nan,,,
toFloat32,nan,,,
toFloat32OrNull,nan,,,
toFloat32OrZero,nan,,,
toFloat64,nan,,,
toFloat64OrNull,nan,,,
toFloat64OrZero,nan,,,
toHour,nan,,,
toIPv4,nan,,,
toIPv6,nan,,,
toISOWeek,nan,,,
toISOYear,nan,,,
toInt16,nan,,,
toInt16OrNull,nan,,,
toInt16OrZero,nan,,,
toInt32,nan,,,
toInt32OrNull,nan,,,
toInt32OrZero,nan,,,
toInt64,nan,,,
toInt64OrNull,nan,,,
toInt64OrZero,nan,,,
toInt8,nan,,,
toInt8OrNull,nan,,,
toInt8OrZero,nan,,,
toIntervalDay,nan,,,
toIntervalHour,nan,,,
toIntervalMinute,nan,,,
toIntervalMonth,nan,,,
toIntervalQuarter,nan,,,
toIntervalSecond,nan,,,
toIntervalWeek,nan,,,
toIntervalYear,nan,,,
toLowCardinality,nan,,,
toMinute,nan,,,
toMonday,nan,,,
toMonth,nan,,,
toNullable,nan,,,
toQuarter,nan,,,
toRelativeDayNum,nan,,,
toRelativeHourNum,nan,,,
toRelativeMinuteNum,nan,,,
toRelativeMonthNum,nan,,,
toRelativeQuarterNum,nan,,,
toRelativeSecondNum,nan,,,
toRelativeWeekNum,nan,,,
toRelativeYearNum,nan,,,
toSecond,nan,,,
toStartOfDay,nan,,,
toStartOfFifteenMinutes,nan,,,
toStartOfFiveMinute,nan,,,
toStartOfHour,nan,,,
toStartOfISOYear,nan,,,
toStartOfInterval,nan,,,
toStartOfMinute,nan,,,
toStartOfMonth,nan,,,
toStartOfQuarter,nan,,,
toStartOfTenMinutes,nan,,,
toStartOfWeek,nan,,,
toStartOfYear,nan,,,
toString,nan,,,
toStringCutToZero,nan,,,
toTime,nan,,,
toTimeZone,nan,,,
toTypeName,nan,,,
toUInt16,nan,,,
toUInt16OrNull,nan,,,
toUInt16OrZero,nan,,,
toUInt32,nan,,,
toUInt32OrNull,nan,,,
toUInt32OrZero,nan,,,
toUInt64,nan,,,
toUInt64OrNull,nan,,,
toUInt64OrZero,nan,,,
toUInt8,nan,,,
toUInt8OrNull,nan,,,
toUInt8OrZero,nan,,,
toUUID,nan,,,
toUnixTimestamp,nan,,,
toValidUTF8,nan,,,
toWeek,nan,,,
toYYYYMM,nan,,,
toYYYYMMDD,nan,,,
toYYYYMMDDhhmmss,nan,,,
toYear,nan,,,
toYearWeek,nan,,,
today,nan,,,
topLevelDomain,nan,,,
transform,nan,,,
trimBoth,nan,,,
trimLeft,nan,,,
trimRight,nan,,,
trunc,nan,,,
truncate,trunc,,,
tryBase64Decode,nan,,,
tuple,nan,,,
tupleElement,nan,,,
ucase,upper,,,
unhex,nan,,,
upper,nan,,,
upperUTF8,nan,,,
uptime,nan,,,
user,currentUser,,,
version,nan,,,
visibleWidth,nan,,,
visitParamExtractBool,nan,,,
visitParamExtractFloat,nan,,,
visitParamExtractInt,nan,,,
visitParamExtractRaw,nan,,,
visitParamExtractString,nan,,,
visitParamExtractUInt,nan,,,
visitParamHas,nan,,,
week,toWeek,,,
xor,nan,,,
xxHash32,nan,,,
xxHash64,nan,,,
yandexConsistentHash,nan,,,
yearweek,toYearWeek,,,
yesterday,nan,,,
